transaction_id,timestamp,transaction_date,amount,merchant_category,transaction_type,city,country,channel,device_type,is_international,failed_attempts,is_fraud,hour,day_of_week,month,is_night,anomaly_flag,anomaly_score
TXN100000,2026-04-13 16:32:26,2026-04-13,440.5,Grocery,Mobile Wallet,Delhi,India,Mobile,iOS,0,0,0,16,Monday,2026-04,0,0,-0.22096705133498423
TXN100001,2026-06-29 00:55:27,2026-06-29,578.74,Fashion,ATM,Mumbai,India,ATM,iOS,0,0,0,0,Monday,2026-06,1,0,-0.19546780356662447
TXN100002,2026-04-03 08:16:08,2026-04-03,1772.47,Travel,POS,Lucknow,India,In-Store,Android,0,0,0,8,Friday,2026-04,0,0,-0.25299021534597166
TXN100003,2026-01-15 17:53:38,2026-01-15,3523.58,Online Services,ATM,Lucknow,India,ATM,Android,0,0,0,17,Thursday,2026-01,0,0,-0.19776727652769138
TXN100004,2026-04-17 11:53:08,2026-04-17,439.52,Grocery,Mobile Wallet,Bengaluru,India,Mobile,iOS,0,0,0,11,Friday,2026-04,0,0,-0.22096705133498423
TXN100005,2026-03-13 22:53:04,2026-03-13,1299.24,Online Services,Online,Pune,India,Digital,Android,0,0,0,22,Friday,2026-03,0,0,-0.2592622275967126
TXN100006,2026-01-21 13:00:30,2026-01-21,703.49,Online Services,POS,Lucknow,India,In-Store,iOS,0,0,0,13,Wednesday,2026-01,0,0,-0.24736047145067208
TXN100007,2026-04-13 14:34:06,2026-04-13,567.22,Travel,Mobile Wallet,Pune,India,Mobile,iOS,0,0,0,14,Monday,2026-04,0,0,-0.24024202824127278
TXN100008,2026-05-02 04:12:40,2026-05-02,1127.77,Utilities,Online,Mumbai,India,Digital,Windows,1,0,0,4,Saturday,2026-05,1,1,0.00974431806383802
TXN100009,2026-03-16 15:43:03,2026-03-16,985.43,Grocery,Bank Transfer,Pune,India,Digital,Android,0,0,0,15,Monday,2026-03,0,0,-0.25522333882972914
TXN100010,2026-03-29 09:26:38,2026-03-29,217.09,Jewelry,ATM,Chennai,India,ATM,MacOS,0,0,0,9,Sunday,2026-03,0,0,-0.11496478521676512
TXN100011,2026-04-27 07:33:50,2026-04-27,1288.55,Food & Dining,Bank Transfer,Kolkata,India,Digital,MacOS,0,1,0,7,Monday,2026-04,0,0,-0.1839840105914708
TXN100012,2026-04-10 02:31:16,2026-04-10,1425.78,Travel,POS,Pune,India,In-Store,Android,0,0,1,2,Friday,2026-04,1,0,-0.2087812243847565
TXN100013,2026-04-14 19:15:41,2026-04-14,1993.92,Fashion,POS,Kolkata,India,In-Store,Android,0,1,0,19,Tuesday,2026-04,0,0,-0.16978998581276628
TXN100014,2026-06-01 08:38:05,2026-06-01,693.56,Grocery,Bank Transfer,Delhi,India,Digital,Android,0,0,0,8,Monday,2026-06,0,0,-0.24607724115839968
TXN100015,2026-05-11 15:26:11,2026-05-11,307.89,Jewelry,Online,Mumbai,India,Digital,Android,0,0,0,15,Monday,2026-05,0,0,-0.1799274078033915
TXN100016,2026-05-30 04:05:15,2026-05-30,782.86,Grocery,POS,Kolkata,India,In-Store,iOS,0,0,0,4,Saturday,2026-05,1,0,-0.20880931933284547
TXN100017,2026-02-22 01:35:50,2026-02-22,1928.97,Entertainment,Online,Jaipur,India,Digital,iOS,0,0,0,1,Sunday,2026-02,1,0,-0.1973183768170435
TXN100018,2026-01-02 21:52:48,2026-01-02,1032.06,Fashion,Online,Delhi,India,Digital,Android,0,1,0,21,Friday,2026-01,0,0,-0.1805152273213283
TXN100019,2026-03-29 09:58:23,2026-03-29,2163.42,Jewelry,Mobile Wallet,Kolkata,India,Mobile,iOS,0,1,0,9,Sunday,2026-03,0,0,-0.1634284704765005
TXN100020,2026-06-07 20:08:09,2026-06-07,387.33,Travel,POS,Bengaluru,India,In-Store,Windows,0,0,0,20,Sunday,2026-06,0,0,-0.20448460094871823
TXN100021,2026-02-07 08:54:53,2026-02-07,2099.97,Food & Dining,Mobile Wallet,Pune,India,Mobile,iOS,1,0,0,8,Saturday,2026-02,0,0,-0.03514573056396797
TXN100022,2026-05-10 09:31:54,2026-05-10,1338.41,Food & Dining,Online,Bengaluru,India,Digital,Android,0,1,0,9,Sunday,2026-05,0,0,-0.18618385702236379
TXN100023,2026-01-21 13:23:45,2026-01-21,825.57,Healthcare,ATM,Lucknow,India,ATM,Android,1,0,0,13,Wednesday,2026-01,0,0,-0.05547193494232472
TXN100024,2026-06-10 23:03:34,2026-06-10,2581.9,Grocery,Online,Chennai,India,Digital,iOS,0,0,0,23,Wednesday,2026-06,1,0,-0.18142374276903223
TXN100025,2026-02-27 09:46:19,2026-02-27,1328.78,Electronics,Bank Transfer,Delhi,India,Digital,iOS,0,0,0,9,Friday,2026-02,0,0,-0.25897957513417924
TXN100026,2026-01-22 07:02:18,2026-01-22,499.01,Electronics,Bank Transfer,Ahmedabad,India,Digital,Windows,0,0,0,7,Thursday,2026-01,0,0,-0.23377839582894894
TXN100027,2026-03-30 19:21:21,2026-03-30,2405.47,Healthcare,Online,Ahmedabad,India,Digital,Android,0,0,0,19,Monday,2026-03,0,0,-0.23886174294092904
TXN100028,2026-02-18 08:55:01,2026-02-18,903.82,Electronics,Mobile Wallet,Kolkata,India,Mobile,iOS,0,0,0,8,Wednesday,2026-02,0,0,-0.25900072633753146
TXN100029,2026-02-28 00:46:15,2026-02-28,1129.53,Food & Dining,Online,Pune,India,Digital,Android,0,1,0,0,Saturday,2026-02,1,0,-0.11596961987015098
TXN100030,2026-06-19 12:40:19,2026-06-19,549.7,Electronics,ATM,Mumbai,India,ATM,Windows,1,0,0,12,Friday,2026-06,0,0,-0.024063786998878678
TXN100031,2026-01-15 12:43:58,2026-01-15,1052.22,Online Services,Mobile Wallet,Ahmedabad,India,Mobile,Windows,0,0,0,12,Thursday,2026-01,0,0,-0.2600588496014047
TXN100032,2026-06-24 05:25:39,2026-06-24,514.48,Jewelry,Mobile Wallet,Mumbai,India,Mobile,MacOS,0,0,1,5,Wednesday,2026-06,1,0,-0.1847875783783951
TXN100033,2026-02-20 15:52:04,2026-02-20,955.51,Food & Dining,Mobile Wallet,Ahmedabad,India,Mobile,MacOS,0,0,0,15,Friday,2026-02,0,0,-0.2560594852692483
TXN100034,2026-04-18 18:05:49,2026-04-18,1123.88,Fashion,POS,Delhi,India,In-Store,iOS,0,0,0,18,Saturday,2026-04,0,0,-0.26116076042459013
TXN100035,2026-02-24 07:23:36,2026-02-24,1780.45,Electronics,Online,Unknown,India,Digital,MacOS,0,2,0,7,Tuesday,2026-02,0,0,-0.01322716636535215
TXN100036,2026-03-05 22:07:35,2026-03-05,355.92,Grocery,Online,Lucknow,India,Digital,Android,0,0,0,22,Thursday,2026-03,0,0,-0.1952977129581966
TXN100037,2026-05-11 15:09:27,2026-05-11,2446.46,Unknown,POS,Hyderabad,India,In-Store,Android,0,0,0,15,Monday,2026-05,0,0,-0.2350475255655139
TXN100038,2026-02-20 10:18:19,2026-02-20,2508.5,Entertainment,Bank Transfer,Kolkata,India,Digital,Android,0,0,0,10,Friday,2026-02,0,0,-0.23360455434633032
TXN100039,2026-05-15 21:03:51,2026-05-15,942.76,Food & Dining,Online,Chennai,India,Digital,Android,0,0,0,21,Friday,2026-05,0,0,-0.2593193595517305
TXN100040,2026-01-21 17:09:59,2026-01-21,1215.91,Jewelry,ATM,Ahmedabad,India,ATM,Windows,0,0,0,17,Wednesday,2026-01,0,0,-0.26187003791464436
TXN100041,2026-03-14 07:04:39,2026-03-14,1401.39,Unknown,POS,Pune,India,In-Store,Android,0,0,1,7,Saturday,2026-03,0,0,-0.2560373788780243
TXN100042,2026-06-16 12:49:32,2026-06-16,1172.27,Healthcare,POS,Chennai,India,In-Store,Windows,0,0,0,12,Tuesday,2026-06,0,0,-0.25824626195280714
TXN100043,2026-01-18 15:31:03,2026-01-18,1777.11,Food & Dining,ATM,Mumbai,India,ATM,Windows,1,1,0,15,Sunday,2026-01,0,1,0.0295330265410767
TXN100044,2026-05-12 11:40:43,2026-05-12,804.49,Food & Dining,POS,Bengaluru,India,In-Store,Windows,0,0,0,11,Tuesday,2026-05,0,0,-0.2558153269856685
TXN100045,2026-03-30 22:56:09,2026-03-30,596.99,Travel,Bank Transfer,Lucknow,India,Digital,Android,0,0,0,22,Monday,2026-03,0,0,-0.2426009598562019
TXN100046,2026-03-01 04:16:48,2026-03-01,1544.62,Food & Dining,Online,Unknown,India,Digital,iOS,1,0,0,4,Sunday,2026-03,1,1,0.015449869401704786
TXN100047,2026-01-14 16:06:20,2026-01-14,323.54,Food & Dining,Bank Transfer,Jaipur,India,Digital,Windows,0,1,0,16,Wednesday,2026-01,0,0,-0.10308829682030074
TXN100048,2026-01-09 23:02:36,2026-01-09,1799.45,Healthcare,Online,Chennai,India,Digital,Android,0,1,0,23,Friday,2026-01,1,0,-0.11043903957414247
TXN100049,2026-03-31 04:32:31,2026-03-31,1954.85,Jewelry,Online,Bengaluru,India,Digital,Windows,0,0,0,4,Tuesday,2026-03,1,0,-0.19640282482335597
TXN100050,2026-02-22 01:08:51,2026-02-22,586.5,Travel,ATM,Pune,India,ATM,Windows,0,0,0,1,Sunday,2026-02,1,0,-0.19556032773229903
TXN100051,2026-05-10 12:27:05,2026-05-10,3420.94,Grocery,Mobile Wallet,Chennai,India,Mobile,Android,0,1,1,12,Sunday,2026-05,0,0,-0.11720139448462696
TXN100052,2026-03-25 03:09:09,2026-03-25,828.05,Food & Dining,Online,Mumbai,India,Digital,Android,0,1,0,3,Wednesday,2026-03,1,0,-0.10397947515972361
TXN100053,2026-04-02 16:55:31,2026-04-02,772.94,Food & Dining,POS,Delhi,India,In-Store,Android,0,0,0,16,Thursday,2026-04,0,0,-0.25419082784898483
TXN100054,2026-04-21 12:17:34,2026-04-21,650.14,Electronics,POS,Chennai,India,In-Store,Windows,0,0,0,12,Tuesday,2026-04,0,0,-0.24415733903136072
TXN100055,2026-06-21 10:37:05,2026-06-21,1569.45,Utilities,Online,Jaipur,India,Digital,Android,0,0,0,10,Sunday,2026-06,0,0,-0.25423887697973346
TXN100056,2026-01-08 03:27:33,2026-01-08,801.84,Jewelry,Bank Transfer,Hyderabad,India,Digital,iOS,0,0,0,3,Thursday,2026-01,1,0,-0.20832802315827464
TXN100057,2026-06-24 05:13:34,2026-06-24,347.34,Jewelry,Bank Transfer,Jaipur,India,Digital,Android,0,1,0,5,Wednesday,2026-06,1,0,-0.051469011907577245
TXN100058,2026-02-04 05:04:23,2026-02-04,1441.29,Electronics,Online,Bengaluru,India,Digital,iOS,0,0,0,5,Wednesday,2026-02,1,0,-0.20977018710693418
TXN100059,2026-03-22 21:34:54,2026-03-22,868.67,Online Services,POS,Mumbai,India,In-Store,Android,0,0,0,21,Sunday,2026-03,0,0,-0.2581412751522207
TXN100060,2026-06-13 04:22:15,2026-06-13,2614.27,Healthcare,Bank Transfer,Pune,India,Digital,iOS,0,0,0,4,Saturday,2026-06,1,0,-0.17988565143020252
TXN100061,2026-02-19 04:23:50,2026-02-19,1403.91,Food & Dining,POS,Lucknow,India,In-Store,Android,0,0,0,4,Thursday,2026-02,1,0,-0.21001346996008763
TXN100062,2026-04-14 13:18:13,2026-04-14,1356.85,Food & Dining,ATM,Kolkata,India,ATM,iOS,0,0,0,13,Tuesday,2026-04,0,0,-0.25621420552486446
TXN100063,2026-05-12 12:24:33,2026-05-12,2469.09,Online Services,Online,Hyderabad,India,Digital,Android,0,0,0,12,Tuesday,2026-05,0,0,-0.23424726273881818
TXN100064,2026-01-02 12:31:06,2026-01-02,1246.4,Food & Dining,ATM,Lucknow,India,ATM,Windows,0,0,0,12,Friday,2026-01,0,0,-0.26002335120812964
TXN100065,2026-05-14 00:56:13,2026-05-14,2050.34,Fashion,Online,Chennai,India,Digital,Windows,0,1,0,0,Thursday,2026-05,1,0,-0.10844865166207551
TXN100066,2026-02-23 02:52:15,2026-02-23,652.05,Food & Dining,Mobile Wallet,Hyderabad,India,Mobile,Windows,0,0,0,2,Monday,2026-02,1,0,-0.1958928209345036
TXN100067,2026-04-16 06:35:41,2026-04-16,4092.17,Food & Dining,POS,Bengaluru,India,In-Store,Android,0,0,1,6,Thursday,2026-04,0,0,-0.1782672315367052
TXN100068,2026-01-04 02:58:12,2026-01-04,1366.96,Electronics,Online,Mumbai,India,Digital,Android,0,0,0,2,Sunday,2026-01,1,0,-0.21167567522685438
TXN100069,2026-02-23 13:08:15,2026-02-23,419.31,Online Services,Mobile Wallet,Pune,India,Mobile,iOS,0,0,0,13,Monday,2026-02,0,0,-0.2149295988111976
TXN100070,2026-05-26 12:39:01,2026-05-26,1224.5,Healthcare,Online,Lucknow,India,Digital,Windows,0,0,0,12,Tuesday,2026-05,0,0,-0.26190696729332547
TXN100071,2026-02-13 09:27:37,2026-02-13,1273.26,Entertainment,POS,Chennai,India,In-Store,Android,0,0,0,9,Friday,2026-02,0,0,-0.26022095768989806
TXN100072,2026-06-11 18:36:23,2026-06-11,1211.77,Grocery,POS,Mumbai,India,In-Store,Android,0,0,1,18,Thursday,2026-06,0,0,-0.2621341793716361
TXN100073,2026-01-14 05:26:23,2026-01-14,174.18,Entertainment,Online,Chennai,India,Digital,Windows,0,1,1,5,Wednesday,2026-01,1,1,0.0070113079510967236
TXN100074,2026-04-05 06:19:25,2026-04-05,707.36,Grocery,Mobile Wallet,Pune,India,Mobile,iOS,0,0,0,6,Sunday,2026-04,0,0,-0.2465065908454122
TXN100075,2026-02-17 16:28:07,2026-02-17,362.75,Grocery,Bank Transfer,Lucknow,India,Digital,iOS,1,0,0,16,Tuesday,2026-02,0,0,-0.015486142697068828
TXN100076,2026-01-15 06:38:26,2026-01-15,366.98,Food & Dining,Online,Chennai,India,Digital,iOS,0,0,0,6,Thursday,2026-01,0,0,-0.19873326216112314
TXN100077,2026-02-09 23:38:23,2026-02-09,1252.8,Fashion,Bank Transfer,Unknown,India,Digital,Android,0,0,0,23,Monday,2026-02,1,0,-0.21791651183324623
TXN100078,2026-03-23 22:07:55,2026-03-23,700.17,Food & Dining,POS,Chennai,India,In-Store,Windows,0,0,0,22,Monday,2026-03,0,0,-0.24628226230351352
TXN100079,2026-04-21 12:55:25,2026-04-21,819.76,Grocery,Mobile Wallet,Lucknow,India,Mobile,Windows,0,0,0,12,Tuesday,2026-04,0,0,-0.25663513793929876
TXN100080,2026-02-22 10:37:10,2026-02-22,535.95,Fashion,POS,Mumbai,India,In-Store,MacOS,0,0,0,10,Sunday,2026-02,0,0,-0.2343463740325209
TXN100081,2026-01-24 05:25:20,2026-01-24,3305.85,Electronics,ATM,Bengaluru,India,ATM,Android,0,2,0,5,Saturday,2026-01,1,1,0.057672883406396314
TXN100082,2026-06-03 23:40:38,2026-06-03,1132.19,Jewelry,POS,Delhi,India,In-Store,iOS,0,0,0,23,Wednesday,2026-06,1,0,-0.22264933139180565
TXN100083,2026-05-04 14:25:34,2026-05-04,324.23,Food & Dining,POS,Mumbai,India,In-Store,Android,0,0,0,14,Monday,2026-05,0,0,-0.18607856070279155
TXN100084,2026-02-10 07:06:06,2026-02-10,1835.81,Healthcare,POS,Hyderabad,India,In-Store,MacOS,0,0,0,7,Tuesday,2026-02,0,0,-0.25144165265065094
TXN100085,2026-06-06 20:19:53,2026-06-06,833.79,Travel,Online,Delhi,India,Digital,iOS,1,0,0,20,Saturday,2026-06,0,0,-0.05543037328890221
TXN100086,2026-01-15 08:22:14,2026-01-15,2849.58,Grocery,Bank Transfer,Chennai,India,Digital,MacOS,0,0,0,8,Thursday,2026-01,0,0,-0.22038164363762747
TXN100087,2026-02-14 02:52:25,2026-02-14,1089.54,Jewelry,POS,Lucknow,India,In-Store,Android,0,0,0,2,Saturday,2026-02,1,0,-0.22189044724251167
TXN100088,2026-03-06 11:26:25,2026-03-06,628.46,Travel,Mobile Wallet,Mumbai,India,Mobile,Android,0,0,0,11,Friday,2026-03,0,0,-0.2458156275979556
TXN100089,2026-03-30 19:39:04,2026-03-30,710.78,Fashion,Online,Lucknow,India,Digital,MacOS,0,0,0,19,Monday,2026-03,0,0,-0.24692043247172835
TXN100090,2026-03-12 09:17:35,2026-03-12,794.8,Entertainment,Bank Transfer,Mumbai,India,Digital,MacOS,0,0,0,9,Thursday,2026-03,0,0,-0.2556154025248542
TXN100091,2026-01-09 07:46:58,2026-01-09,1622.63,Grocery,Mobile Wallet,Lucknow,India,Mobile,Windows,0,2,0,7,Friday,2026-01,0,0,-0.01700479856180448
TXN100092,2026-03-29 15:03:39,2026-03-29,585.18,Utilities,ATM,Hyderabad,India,ATM,Android,0,0,0,15,Sunday,2026-03,0,0,-0.24096414038426034
TXN100093,2026-05-09 12:46:31,2026-05-09,2965.93,Food & Dining,Mobile Wallet,Kolkata,India,Mobile,Android,0,0,0,12,Saturday,2026-05,0,0,-0.215912367749179
TXN100094,2026-05-16 20:26:56,2026-05-16,1472.7,Travel,Bank Transfer,Delhi,India,Digital,Windows,0,0,0,20,Saturday,2026-05,0,0,-0.25356890468809773
TXN100095,2026-03-04 02:38:06,2026-03-04,1312.28,Grocery,POS,Delhi,India,In-Store,iOS,0,1,0,2,Wednesday,2026-03,1,0,-0.11601594231083379
TXN100096,2026-05-19 10:47:42,2026-05-19,1162.63,Electronics,ATM,Mumbai,India,ATM,Windows,0,0,0,10,Tuesday,2026-05,0,0,-0.2590619287647523
TXN100097,2026-03-22 16:21:10,2026-03-22,1079.14,Online Services,Online,Chennai,India,Digital,Android,0,0,0,16,Sunday,2026-03,0,0,-0.26156040229319166
